class_Id,SpellsKnown,Name,Gender,Heritage,TemplateString,Stuck,AiUsesMana,AllowGive,IgnoreCollisions,ReportCollisions,Ethereal,GravityStatus,Attackable,ReportCollisionsAsEnvironment,AllowEdgeSlide,NeverFailCasting,AiImmobile,NonProjectileMagicImmune,Strength,Endurance,Quickness,Coordination,Focus,Self,MaxHealth,MaxStamina,MaxMana,DeathTreasureType,ItemType,CreatureType,ItemsCapacity,ContainersCapacity,Mass,ItemUseable,Level,ArmorType,CombatMode,TargetingTactic,PhysicsState,AiAllowedCombatStyle,ShowableOnRadar,XpValue,AxeSkill,BowSkill,CrossbowSkill,DaggerSkill,MaceSkill,MeleeDefenseSkill,MissileDefenseSkill,SlingSkill,SpearSkill,StaffSkill,SwordSkill,ThrownWeaponSkill,UnarmedCombatSkill,ArcaneLoreSkill,MagicDefenseSkill,ManaConversionSkill,DeceptionSkill,HealingSkill,JumpSkill,LockpickSkill,RunSkill,CreatureEnchantmentSkill,ItemEnchantmentSkill,LifeMagicSkill,WarMagicSkill,TwoHandedCombatSkill,VoidMagicSkill,HeavyWeaponsSkill,LightWeaponsSkill,FinesseWeaponsSkill,MissileWeaponsSkill,ShieldSkill,DualWieldSkill,RecklessnessSkill,SneakAttackSkill,DirtyFightingSkill,SummoningSkill,BaseArmor,HealthRate,StaminaRate,ManaRate,Shade,ArmorModVsSlash,ArmorModVsPierce,ArmorModVsBludgeon,ArmorModVsCold,ArmorModVsFire,ArmorModVsAcid,ArmorModVsElectric,VisualAwarenessRange,PowerupTime,ChargeSpeed,Modelscale,ResistSlash,ResistPierce,ResistBludgeon,ResistFire,ResistCold,ResistAcid,ResistElectric,ResistHealthBoost,ResistStaminaDrain,ResistStaminaBoost,ResistManaDrain,ResistManaBoost,AiUseMagicDelay,ObviousRadarRange,AiAcquireHealth,ResistHealthDrain,DeathTreasureType,LootTier
1,0,Clay,Male,,,1,,,0,1,0,,,,1,,,,55,55,55,55,55,55,28,55,55,,16,31,102,20,120,1,1,0,,,4195336,,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3,3,1,,0.9,1,1.1,0.4,0.4,1,0.6,50,,1.5,,1,1,1,1,1,1,1,1,1,1,1,1,,10,,1,,
3,0,Olthoi Worker,,,,1,,,0,1,0,1,1,,,,,,265,265,100,100,60,20,158,345,20,451,16,1,-1,-1,8000,1,50,0,2,13,1032,,2,10000,,,,,,150,280,,,,,,,,197,,100,,200,,50,,,,,,,,170,,,,,,,,,130,0.6000000238,4,2,0.5,0.6399999857,0.8000000119,0.6000000238,1,1,1.200000048,1,20,1,1,1,0.75,1,1,0.75,0.75,0.4199999869,0.25,1,1,1,1,1,,10,,1,451,2
5,0,Laigus Lugian,,,,1,,,0,1,0,1,1,,,,,,150,150,50,50,40,50,105,300,50,453,16,5,-1,-1,8000,1,20,0,2,13,1032,131,4,3500,,,,,,50,88,,,,,,,,66,,25,,140,,50,,,,,,,,70,,70,,,,,,,80,0.3000000119,4,2,0.5,0.4900000095,0.4900000095,0.4900000095,0.2199999988,0.1099999994,0.8299999833,0.8000000119,16,2,1,,0.6600000262,0.6600000262,0.6600000262,0.3000000119,0.4199999869,0.8999999762,1,1,1,1,1,1,,10,,1,453,1
6,0,Banderling Scout,,,,1,,,0,1,0,1,1,,,,,,110,65,60,90,30,30,43,75,31,453,16,2,-1,-1,,1,8,0,2,3,1032,131,2,1000,,,,,,20,54,,,,20,,,,18,,,,80,,30,,,,,,,,20,20,20,,,,,,,30,0.1000000015,5,2,,0.2599999905,0.02999999933,0.1099999994,0.2599999905,0.6999999881,0.02999999933,0.6000000238,22,1,1,1.299999952,0.7599999905,0.6499999762,0.5,1,0.7599999905,0.6499999762,1,1,1,1,1,1,,10,,1,453,1
7,0,Drudge Skulker,,,,1,,,0,1,0,1,1,,,,,,70,60,110,90,15,15,42,80,15,453,16,3,-1,-1,,1,8,0,2,5,1032,131,2,1000,,,,,,5,15,,,,,,,,5,,,,,,40,,,,,,,5,5,5,,,,,,,,3,0.06700000167,5,1,1,0.8999999762,1,1.100000024,0.6000000238,0.6000000238,1,0.3600000143,10,1,1,0.9499999881,0.8600000143,0.75,0.6600000262,1.419999957,1.419999957,0.75,1.419999957,1,1,1,1,1,,10,,1,453,1
8,0,Creeper Mosswart,,,,1,,,0,1,0,1,1,,,,,,100,90,70,55,40,30,47,94,30,453,16,4,-1,-1,,1,8,0,2,13,1032,131,2,1000,,,,,,34,52,,,,,,,40,34,,40,,,,40,,,,,,,35,35,35,45,,,,,,,20,0.06700000167,5,2,0.5,0.1800000072,0.01999999955,0.01999999955,0.3400000036,0.400000006,0.5799999833,0.6999999881,24,1,1,0.8999999762,0.8000000119,0.8000000119,0.8000000119,1,0.8000000119,0.8000000119,1,1,1,1,1,1,,10,,1,453,1
10,0,Mite Scamp,,,,1,,,0,1,0,1,1,,,,,,40,70,80,80,60,40,45,220,40,459,16,7,-1,-1,,1,8,0,2,5,1032,129,2,1000,,,,,,36,46,,,,,,,,31,,25,,80,,80,,,,,,,,40,,0,,,,,,,10,0.1000000015,5,2,0.5,0.03999999911,0.01999999955,0.01999999955,0.1199999973,0.5,0.5,0.01999999955,18,2,1,,0.6999999881,0.8000000119,0.8000000119,1,0.75,1,0.8000000119,1,1,1,1,1,,10,,1,459,1
11,0,Male Tusker,,,,1,,,0,1,0,1,1,,,,,,170,140,80,50,30,20,100,290,20,457,16,8,-1,-1,,1,20,0,2,9,1032,,4,3500,,,,,,50,84,,,,,,,,56,,25,,115,,65,,,,,,,,80,,,,,,,,,80,0.25,4,2,,0.5,0.8000000119,0.5,1,0.6999999881,1,1,24,2.5,1,1.100000024,0.5,1,0.75,1,0.75,0.75,0.400000006,1,1,1,1,1,,10,,1,457,2
12,1,Red Phyntos Wasp,,,,1,1,,0,1,0,1,1,,,1,,,35,60,90,90,40,20,35,160,20,465,16,9,-1,-1,,1,8,,2,13,1032,,4,1000,,,,,,10,44,,,,,,,30,14,,5,,80,,40,,,,17,,,,25,,,,,,,,,10,0.06700000167,0.5,2,,0.8000000119,0.8000000119,0.5,0.349999994,0.2800000012,0.2800000012,0.2800000012,10,1.799999952,1,1.200000048,1,1,1,0.8999999762,0.8000000119,0.8999999762,0.8999999762,1,1,1,1,1,3,10,,1,465,1
13,0,White Rat,,,,1,,,0,1,0,1,1,,,,,,10,10,20,20,10,10,10,110,10,459,16,10,-1,-1,,1,8,0,2,5,1032,,4,1000,,,,,,15,38,,,,,,,,21,,,,20,,20,,,,,,,,15,,,,,,,,,8,0.06700000167,5,2,0.5,1,0.5,0.5,1,0.400000006,0.8000000119,0.8000000119,16,2,1,2.099999905,0.6000000238,1.600000024,1.600000024,2.099999905,0.6000000238,0.8500000238,0.8500000238,1,1,1,1,1,,10,,1,459,1
